lemma	grouping	nodes	nodes1	nodes2	cluster_freq_dist	cluster_freq_dist1	cluster_freq_dist2	cluster_prob_dist	cluster_prob_dist1	cluster_prob_dist2	change_binary	change_binary_gain	change_binary_loss	change_graded	k1	n1	k2	n2	EARLIER	LATER	COMPARE
abundar	1_2	40	20	20	[36, 4]	[20, 0]	[16, 4]	[0.9, 0.1]	[1.0, 0.0]	[0.8, 0.2]	1	1	0	0.3286815269308577	1	3	1	3	3.6479591836734695	2.967032967032967	3.2175
actitud	1_2	40	20	20	[21, 19]	[20, 0]	[1, 19]	[0.525, 0.475]	[1.0, 0.0]	[0.05, 0.95]	1	1	1	0.924660694787462	1	3	1	3	3.3488372093023258	3.4007936507936507	2.242957746478873
adelante	1_2	40	20	20	[21, 7, 5, 4, 2, 1]	[6, 7, 2, 3, 2, 0]	[15, 0, 3, 1, 0, 1]	[0.525, 0.175, 0.125, 0.1, 0.05, 0.025]	[0.3, 0.35, 0.1, 0.15, 0.1, 0.0]	[0.75, 0.0, 0.15, 0.05, 0.0, 0.05]	1	0	1	0.586826264536423	1	3	1	3	2.4541284403669725	2.626126126126126	2.397489539748954
agradecer	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.4274193548387095	3.496031746031746	3.26171875
aguantar	1_2	40	20	20	[26, 8, 5, 1]	[17, 1, 2, 0]	[9, 7, 3, 1]	[0.65, 0.2, 0.125, 0.025]	[0.85, 0.05, 0.1, 0.0]	[0.45, 0.35, 0.15, 0.05]	1	1	0	0.4062478346003235	1	3	1	3	3.0255102040816326	2.4065420560747666	2.26980198019802
albergar	1_2	40	20	20	[19, 10, 8, 2, 1]	[16, 1, 3, 0, 0]	[3, 9, 5, 2, 1]	[0.475, 0.25, 0.2, 0.05, 0.025]	[0.8, 0.05, 0.15, 0.0, 0.0]	[0.15, 0.45, 0.25, 0.1, 0.05]	1	1	0	0.6268739264685287	1	3	1	3	3.0943396226415096	2.5816326530612246	2.0985221674876846
arena	1_2	40	20	20	[30, 6, 2, 1, 1]	[19, 1, 0, 0, 0]	[11, 5, 2, 1, 1]	[0.75, 0.15, 0.05, 0.025, 0.025]	[0.95, 0.05, 0.0, 0.0, 0.0]	[0.55, 0.25, 0.1, 0.05, 0.05]	1	1	0	0.43753623170809275	1	3	1	3	3.1554054054054053	2.26875	2.5106382978723403
asolar	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.452755905511811	3.227272727272727	2.868231046931408
ataque	1_2	40	20	20	[28, 9, 1, 1]	[9, 8, 1, 1]	[19, 1, 0, 0]	[0.718, 0.231, 0.026, 0.026]	[0.474, 0.421, 0.053, 0.053]	[0.95, 0.05, 0.0, 0.0]	1	0	1	0.4814343260158393	1	3	1	3	2.4684684684684686	3.5377358490566038	2.575221238938053
atrás	1_2	40	20	20	[39, 1]	[20, 0]	[19, 1]	[0.975, 0.025]	[1.0, 0.0]	[0.95, 0.05]	0	0	0	0.15956958650912217	1	3	1	3	3.159340659340659	2.984375	2.9475
ausencia	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.5851063829787235	3.535	3.3891625615763545
avance	1_2	40	20	20	[23, 16, 1]	[5, 14, 1]	[18, 2, 0]	[0.575, 0.4, 0.025]	[0.25, 0.7, 0.05]	[0.9, 0.1, 0.0]	0	0	0	0.5901130065481865	1	3	1	3	2.782608695652174	2.992	2.1068840579710146
banco	1_2	40	20	20	[21, 14, 2, 2, 1]	[1, 14, 2, 2, 1]	[20, 0, 0, 0, 0]	[0.525, 0.35, 0.05, 0.05, 0.025]	[0.05, 0.7, 0.1, 0.1, 0.05]	[1.0, 0.0, 0.0, 0.0, 0.0]	1	1	1	0.924660694787462	1	3	1	3	2.677685950413223	3.896694214876033	1.2675438596491229
